Node,Degree
3,26
1050,2
97188,2
99338,2
369351,2
384101,2
8,1
28,1
61,1
135,1
172,1
229,1
639,1
819,1
1049,1
1149,1
1708,1
1711,1
2027,1
2070,1
2203,1
2257,1
2282,1
2570,1
2584,1
2655,1
3139,1
3319,1
4006,1
4373,1
4467,1
5113,1
6972,1
7580,1
8019,1
9356,1
9866,1
50877,1
52235,1
52969,1
54021,1
54246,1
54616,1
54634,1
56353,1
56756,1
57117,1
57225,1
57466,1
57562,1
57808,1
58727,1
60292,1
60334,1
60396,1
61028,1
61440,1
61849,1
62440,1
63019,1
64414,1
64440,1
64589,1
65678,1
66725,1
69063,1
69919,1
70381,1
71162,1
71319,1
71373,1
71852,1
73108,1
76745,1
77515,1
77744,1
78238,1
78286,1
80118,1
81202,1
81973,1
83917,1
85335,1
86932,1
87143,1
87847,1
88589,1
88595,1
89683,1
90813,1
93488,1
94671,1
95865,1
96456,1
97023,1
97101,1
97428,1
97584,1
97867,1
98461,1
98468,1
98547,1
98821,1
98983,1
98999,1
99133,1
99200,1
99798,1
99914,1
100298,1
100429,1
100562,1
100566,1
100680,1
101051,1
102357,1
113782,1
115255,1
117889,1
122281,1
123364,1
123370,1
123577,1
123678,1
123728,1
131531,1
135675,1
136703,1
142145,1
142158,1
142714,1
214928,1
297249,1
297790,1
298609,1
299742,1
301178,1
303176,1
303502,1
305608,1
306981,1
307392,1
308348,1
308617,1
312023,1
313817,1
317384,1
319187,1
321058,1
322208,1
330772,1
331668,1
332406,1
335092,1
335535,1
336114,1
337822,1
341360,1
341820,1
341965,1
342483,1
344169,1
344520,1
344565,1
345330,1
345697,1
346683,1
348421,1
348684,1
349106,1
350408,1
351675,1
352906,1
353377,1
353804,1
354494,1
354597,1
354631,1
354657,1
354682,1
354692,1
354803,1
354984,1
355304,1
355349,1
355363,1
355416,1
355427,1
355766,1
356035,1
356414,1
356910,1
357598,1
357727,1
357844,1
357882,1
357933,1
358139,1
359221,1
362351,1
362355,1
362485,1
362579,1
362771,1
362775,1
363517,1
363665,1
363804,1
364614,1
364729,1
365402,1
366171,1
366496,1
366983,1
368278,1
368760,1
369961,1
370149,1
370260,1
370265,1
370321,1
370509,1
372549,1
372870,1
374178,1
376344,1
376612,1
377391,1
377598,1
379074,1
381007,1
381903,1
382264,1
382348,1
382847,1
383211,1
383282,1
383334,1
383375,1
383453,1
383792,1
383804,1
383970,1
384063,1
384064,1
384090,1
384094,1
384097,1
384098,1
384099,1
384100,1
384102,1
384103,1
384104,1
384105,1
384106,1
